code        S0          L         ms         mv
000    25.3000    54.3000     0.6140     0.5016
001    33.1000    88.5000     0.7020     0.5372
002    32.1000    99.3000     0.7580     0.8739
003    34.9000    86.7000     0.6860     0.5132
004    32.9000    39.9000     0.7100     0.6986
005    27.9000    68.7000     0.6300     0.7885
006    25.5000   101.1000     0.7900     0.7652
007    32.7000    77.7000     0.7700     0.7365
008    27.5000    34.5000     0.6340     0.6393
009    32.3000    72.3000     0.7300     0.8245
010    34.1000    65.1000     0.7980     0.7518
011    31.5000   117.3000     0.7220     0.5834
012    29.5000    50.7000     0.7860     0.6697
013    31.7000    56.1000     0.6620     0.5383
014    27.7000    70.5000     0.6820     0.5684
015    28.1000    95.7000     0.6100     0.5481
016    29.3000    92.1000     0.7780     0.7245
017    25.9000    83.1000     0.6580     0.5206
018    30.1000    57.9000     0.6220     0.6201
019    27.1000   113.7000     0.6740     0.5805
020    28.7000   111.9000     0.7140     0.8406
021    31.9000   102.9000     0.6460     0.6592
022    33.3000    38.1000     0.7060     0.9752
023    28.5000    66.9000     0.7660     0.5623
024    33.9000    74.1000     0.7620     0.9888
025    34.5000    90.3000     0.7340     0.8174
026    28.3000   106.5000     0.6780     0.6227
027    34.7000    43.5000     0.6540     0.5599
028    31.3000    30.9000     0.6660     0.5207
029    33.7000    41.7000     0.6380     0.5127
030    29.9000   108.3000     0.6060     0.6540
031    26.1000    93.9000     0.7180     0.7647
032    31.1000    59.7000     0.7420     1.0073
033    25.7000    36.3000     0.7540     0.6245
034    34.3000    48.9000     0.6180     0.8031
035    28.9000    79.5000     0.6420     0.7845
036    25.1000    32.7000     0.6020     0.6811
037    26.9000    52.5000     0.7940     0.9877
038    29.7000    63.3000     0.7260     0.8708
039    30.7000   104.7000     0.6700     0.5135
040    33.5000   115.5000     0.6500     0.5926
041    29.1000    84.9000     0.6980     0.9127
042    30.9000    75.9000     0.7820     0.6290
043    32.5000   119.1000     0.6260     0.6691
044    27.3000   110.1000     0.7380     0.6812
045    30.3000    61.5000     0.7740     0.9737
046    26.5000    45.3000     0.7460     0.7852
047    26.3000    97.5000     0.6940     0.6083
048    30.5000    47.1000     0.7500     0.7786
049    26.7000    81.3000     0.6900     0.6187
